Rank,Corpus ID,Authors,Year,Title,DOI,DSD_variety,DSD_frequency,LSD_variety,LSD_frequency,PSD_variety,PSD_frequency,MSD_variety,MSD_frequency,Score,Matched_Terms
283,621,"Arhin I., Mei H., Li J., Gyamfi E., Antwi-Boasiako A., Chen X., Li X., Liu A.",2023,Analysis of the determinants of sustainable agricultural technologies adoption in tea production in China: a systematic review,10.1080/14735903.2023.2239047,0,0,4,6,1,1,4,9,26.15,LSD: labour*(1); social(2); socio(1); social network*(2) | PSD: rural*(1) | MSD: adoption*(5); farmer(1); strateg*(1); systema*(2)
284,1471,"Amorocho-Daza H., Sušnik J., Slinger J.H., van der Zaag P.",2026,"A participatory system dynamics approach to assess transboundary nutrient pollution: modelling the water-energy-food-ecosystems nexus in the Lielupe River Basin, Lithuania and Latvia",10.1016/j.ecolmodel.2025.111417,0,0,3,7,3,3,5,9,26.15,LSD: cooperat*(5); social(1); socio(1) | PSD: engage*(1); paradigm*(1); perspective(1) | MSD: illustrate(1); dialogue*(1); implementing(2); societ*(1); stakeholder*(4)
285,1243,Miele B.C.,2025,Greenlash in the Breadbasket: Global Leadership and Sustainable Agriculture in the Face of Reactionary Populism,10.1108/978-1-83662-646-620251012,1,3,1,1,2,4,3,6,26.1,DSD: neoliberal*(3) | LSD: socio(1) | PSD: governance*(2); paradigm*(2) | MSD: knowledge(3); people*(2); societ*(1)
286,6060,Cornell Small Farms Program,2015,Small Farm Quarterly - Spring 2015,,0,0,3,3,6,8,5,6,26.1,LSD: cooperat*(1); marketing*(1); school*(1) | PSD: extension(2); food security*(1); certification*(1); quality of life*(1); youth*(2); loan*(1) | MSD: garden*(1); security(1); societ*(1); livestock*(1); dairy*(2)
287,98,"Che Omar A.R., Ishak S., Abd. Moen J., Mohd Arshad M.M.A.",2013,Sufficient and sustainable livelihood via community economy: Case of natural farming program in East Malaysia,10.5539/ass.v9n5p110,0,0,3,7,3,6,4,5,26.0,LSD: empower*(1); social(2); livelihood*(4) | PSD: household(3); income*(1); rural*(2) | MSD: knowledge(1); family(1); people*(2); strateg*(1)
288,1494,"Aspøy H., Stokland H.",2026,Multiple Ontologies of Evidence-Based Policy: The Case of Nature Type Mapping,10.1080/08941920.2025.2533891,1,1,1,8,2,4,1,2,25.7,DSD: reflexiv*(1) | LSD: ontolog*(8) | PSD: power(1); governance*(3) | MSD: strateg*(2)
289,938,"Brownlie W.J., Alexander P., Cordell D., Maslin M., Metson G.S., Sutton M.A., Spears B.M.",2024,National phosphorus planning for food and environmental security,10.1016/j.copbio.2024.103226,0,0,3,4,5,13,1,9,25.65,LSD: -econo*(1); socio(1); supply chain*(2) | PSD: financ*(1); food security*(6); food system*(3); vulnerab*(2); access to*(1) | MSD: security(9)
290,6949,"Lyngkhoi, Dipriya R.",2024,Factors Associated with Shifting Cultivation in Meghalaya: Policy Perspective Probit Approach,,0,0,3,3,7,7,3,4,25.65,LSD: -econo*(1); socio(1); livelihood*(1) | PSD: engage*(1); engaged*(1); income*(1); market(1); perspective(1); access to*(1); capacity building*(1) | MSD: decision*(1); family(1); garden*(2)
291,1118,"Rao C.S., Jagadesh M., Chandana V.M., Kumar G.R., Venu N., Karthik R., Baral K.",2025,Carbon Farming Opportunities and Action Plan Toward Achieving SDGs in India,10.1007/978-981-96-0759-4_13,0,0,3,3,6,6,5,6,25.6,LSD: cooperat*(1); empower*(1); livelihood*(1) | PSD: market(1); paradigm*(1); credit*(1); nutrition*(1); resilience*(1); agribusiness*(1) | MSD: farmer(1); initiative*(1); law*(1); security(1); strateg*(2)
292,62,Santos G.,2011,Rethinking the Green Revolution in South China: Technological materialities and human-environment relations,10.1215/18752160-1465479,0,0,4,7,2,2,0,0,25.5,LSD: anthropolog*(1); social(1); theoretic*(1); Green Revolution*(4) | PSD: histor*(1); question(1)
293,541,Meek D.,2022,"From marginalized to miracle: critical bioregionalism, jungle farming and the move to millets in Karnataka, India",10.1007/s10460-021-10287-x,1,1,2,2,4,6,0,0,25.5,DSD: political econom*(1) | LSD: social(1); theoretic*(1) | PSD: commod*(1); histor*(2); narrative*(2); resilience*(1)
294,1244,"Sciortino C., Sgroi F., Napoli S.",2025,Greenwashing in the agri-food industry: A discussion around EU policies and the Italian,10.1016/j.foohum.2025.100528,0,0,3,7,3,4,4,4,25.4,LSD: marketing*(2); accountab*(2); transparen*(3) | PSD: corporat*(2); case stud*(1); certification*(1) | MSD: discussion*(1); initiative*(1); law*(1); legal*(1)
295,591,"Borras S.M., Jr.",2022,The Difficult but Not Impossible Defeating of Right-Wing Populism and the Exploration of a Socialist Future,10.1007/978-3-031-10264-6_17,0,0,4,4,3,4,2,3,25.3,LSD: labour*(1); peasant*(1); social(1); landless*(1) | PSD: histor*(1); movement*(1); rural*(2) | MSD: people*(2); societ*(1)
296,1218,"Ojuu D., Mkindi A.G., Meya A.I., Giliba R.A., Vanek S., Belmain S.R.",2025,Farmers’ Insights and Practices on Sustainable Soil Nutrient and Pest Management in Semi-Arid Eastern Africa,10.3390/su17062478,0,0,4,4,2,2,4,8,25.3,LSD: -econo*(1); attitude(1); focus group*(1); socio(1) | PSD: organization(1); non-farm*(1) | MSD: discussion*(1); farmer(5); perception*(1); livestock*(1)
297,3683,"Nguyen, T.M.H. (Kyushu Univ., Fukuoka (Japan). Faculty of Agriculture); Kawaguchi, T.",2003,"Rice production and processing in northern Vietnam: A result of field survey in Yen My town, Hung yen province",,0,0,3,5,6,9,0,0,25.25,LSD: interview(1); marketing*(3); theoretic*(1) | PSD: power(1); histor*(1); household(4); market(1); price(1); credit*(1)
298,92,"Montiflor M.O., Axalan J.T., Lamban R.J.G., Real R.R., Concepcion S.B., Batt P.J., Murray-Prior R.B., Rola-Rubzen M.F.",2013,Leadership perceptions in collaborative marketing groups: Cases from the Southern Philippines,10.17660/ActaHortic.2013.1006.30,0,0,3,7,4,4,2,2,25.2,LSD: collaborat*(2); cooperat*(1); marketing*(4) | PSD: case stud*(1); household(1); income*(1); capacity building*(1) | MSD: perception*(1); transport*(1)
299,370,"Das S., Mandal S., Mohanty S.",2021,Agribusiness Opportunities of Organic Agriculture in West Bengal – An Empirical Analysis,10.63040/25827510.2021.03.011,0,0,2,5,6,20,2,2,25.2,LSD: marketing*(3); value chain*(2) | PSD: commod*(5); market(5); price(2); organic market*(2); premium*(2); agribusiness*(4) | MSD: adoption*(1); societ*(1)
300,1251,Morse S.,2025,Having Faith in the Sustainable Livelihood Approach: A Review,10.3390/su17020539,0,0,3,8,3,4,2,2,25.2,LSD: learn*(1); theoretic*(2); livelihood*(5) | PSD: power(1); vulnerab*(2); representation*(1) | MSD: implemented*(1); people*(1)
301,685,Bhattacharjee S.,2023,From Farmer to Consumer: Exploring Proximity and Direct Selling Initiatives of Organic Farmers of Delhi NCR During COVID-19,10.48416/ijsaf.v29i2.532,0,0,3,7,3,5,3,4,25.15,LSD: alternative food network*(2); social(1); supply chain*(4) | PSD: afn*(2); food system*(2); urban(1) | MSD: discussion*(1); farmer(1); initiative*(2)
302,359,"Krzywoszynska A., Marchesi G.",2020,Toward a relational materiality of soils introduction,10.1215/22011919-8142297,1,1,2,3,2,2,2,5,25.0,DSD: epistemolog*(1) | LSD: ontolog*(2); social(1) | PSD: argue*(1); ethical*(1) | MSD: knowledge(2); societ*(3)
303,883,"Katsir S., Biswas A.K., Urs K., Lenka N.K., Jha P., Arora K.",2024,Governing soils sustainably in India: Establishing policies and implementing strategies through local governance,10.1016/j.soisec.2024.100132,0,0,3,4,5,6,4,5,25.0,LSD: institution(1); panchayat*(2); Green Revolution*(1) | PSD: argue*(1); food security*(1); governance*(2); histor*(1); income*(1) | MSD: implementing(1); security(1); strateg*(1); village*(2)
304,538,"Paul B., Patnaik U., Sasidharan S., Murari K.K., Bahinipati C.S.",2022,"Fertilizer Use, Value, and Knowledge Capital: A Case of Indian Farming",10.3390/su141912491,1,1,2,5,1,1,1,2,24.95,DSD: social indicator*(1) | LSD: learn*(2); social(3) | PSD: extension(1) | MSD: knowledge(2)
305,121,"Yen A.-C., Chen Y.-A.",2014,Sustainable agriculture and indigenous community development: Some experiences in Taiwan,10.18848/2325-1115/cgp/v09i03/55240,0,0,3,7,3,3,3,6,24.85,LSD: interview(1); learn*(3); social(3) | PSD: engage*(1); innovation*(1); local knowledge*(1) | MSD: knowledge(2); communal*(1); people*(3)
306,424,"Bojnec Š., Knific K.",2021,Farm household income diversification as a survival strategy,10.3390/su13116341,0,0,1,2,10,29,2,5,24.75,LSD: socioeconomic*(2) | PSD: engage*(1); engaged*(1); food security*(3); household(5); income*(11); market(2); rural*(2); well-being*(1); wellbeing*(2); discontinu*(1) | MSD: security(3); strateg*(2)
307,550,"Duddigan S., Collins C.D., Hussain Z., Osbahr H., Shaw L.J., Sinclair F., Sizmur T., Thallam V., Winowiecki L.A.",2022,"Impact of Zero Budget Natural Farming on Crop Yields in Andhra Pradesh, SE India",10.3390/su14031689,1,2,1,2,2,3,5,5,24.75,DSD: social movement*(2) | LSD: social(2) | PSD: food security*(1); movement*(2) | MSD: adopting*(1); adoption*(1); farmer(1); researcher*(1); security(1)
308,1245,Dewasiri N.J.,2025,HIGHLIGHTS OF CIRCULAR ECONOMY ACTIONS IN THE CLIMATE CHANGE POLICIES: A CALL FOR ACTION FOR ASIA-PACIFIC REGION,10.1108/S2043-052320250000025002,0,0,4,4,2,2,3,6,24.6,LSD: collaborat*(1); cooperat*(1); education(1); social(1) | PSD: financ*(1); narrative*(1) | MSD: implementing(1); stakeholder*(1); systema*(4)
309,1113,"Patel K.P., Patel K.C., Kumar D.",2025,Blending Traditional Knowledge of Farmers in Agriculture with Modern Scientific Technologies in the State of Gujarat,10.1007/978-981-96-1020-4_4,0,0,3,6,3,3,4,8,24.55,LSD: settlement*(1); tribal*(1); traditional knowledge*(4) | PSD: income*(1); rural*(1); urban(1) | MSD: knowledge(5); adoption*(1); farmer(1); modern(1)
310,871,Mishra A.,2024,Extension Strategies for Climate Resilient Agriculture in Eastern Himalayan,10.1007/978-981-99-8014-7_13,0,0,2,2,6,12,8,15,24.5,LSD: socioeconomic*(1); livelihood*(1) | PSD: extension(3); food security*(2); intervention(1); systemic*(1); vulnerab*(2); resilience*(3) | MSD: adopting*(1); farmer(1); perceive*(1); perception*(1); security(2); stakeholder*(1); strateg*(7); systema*(1)
311,1443,"Saraogi S., Rai M.K., Kaushik S., Shweta S.",2025,Traditional Agricultural Knowledge for Sustainable Production,10.1007/978-981-96-5273-0_15,0,0,2,4,7,10,4,10,24.5,LSD: education(1); traditional knowledge*(3) | PSD: extension(1); food security*(2); histor*(1); resilience*(2); cultural heritage*(2); agribusiness*(1); traditional seed*(1) | MSD: knowledge(6); moderniz*(1); security(2); urbaniz*(1)
312,4706,"Moe, A.K.(Kyushu Univ., Fukuoka (Japan)); Yutaka, T.; Fukuda, S.; Kai, S.",2007,Acreage response of pulses to prices under agricultural market reform in Myanmar,,0,0,2,9,5,10,0,0,24.5,LSD: marketing*(4); reform*(5) | PSD: market(5); price(2); credit*(1); access to*(1); discontinu*(1)
313,1382,"Meinzen-Dick R., Singh S.",2025,Repairing the mosaic: the political economy of landscape-level agroecological transitions in India,10.1080/21683565.2025.2568498,1,2,1,1,4,5,2,2,24.45,DSD: political econom*(2) | LSD: panchayat*(1) | PSD: case stud*(1); commons*(2); resilience*(1); tenure*(1) | MSD: stakeholder*(1); strateg*(1)
314,1014,Brown T.,2024,"Subsumption, alienation, and questions of meaning in informal sector skills training",10.4324/9781032650944-4,1,1,1,1,5,8,4,4,24.4,DSD: marx*(1) | LSD: learn*(1) | PSD: argue*(1); engage*(1); corporat*(2); training*(3); ethical*(1) | MSD: illustrate(1); family(1); people*(1); practitioner*(1)
315,176,Lantitsou K.I.,2017,Eco-development and environmental spatial planning,,0,0,3,5,3,10,3,3,24.3,LSD: -econo*(2); education(1); socio(2) | PSD: organization(4); urban(4); quality of life*(2) | MSD: law*(1); people*(1); societ*(1)
316,1132,"Lakshmi R., Singh V.K., Singh D.K., Priyanka V., Kumar M.",2025,Constraints Faced by Farmers in Adapting to Climate Change in North Bihar,10.48165/IJEE.2025.614RN06,0,0,3,4,5,8,2,2,24.2,LSD: education(1); labour*(1); socio(2) | PSD: extension(2); financ*(2); training*(1); vulnerab*(2); adaptive capacity*(1) | MSD: societ*(1); village*(1)
317,1135,"Satpathy A., Satpathy B., Jayasingh D.K.",2025,Constraints in the Adoption of Stress Tolerant Rice Varieties (STRVs) in Odisha,10.48165/IJEE.2025.614RN02,0,0,3,4,4,6,4,7,24.2,LSD: education(1); marginalization*(1); social(2) | PSD: extension(2); financ*(2); training*(1); capacity-building*(1) | MSD: knowledge(1); adoption*(4); initiative*(1); societ*(1)
318,1255,"Lestari E.P., Prajanti S.D.W., Soesilowati E., Rahayu H.C., Malau A.G.",2025,How does climate change adaptation strategy accelerate sustainable food security?,10.18488/jftr.v12i3.4339,0,0,2,2,7,7,8,14,24.15,LSD: education(1); marketing*(1) | PSD: extension(1); food security*(1); household(1); innovation*(1); training*(1); credit*(1); tenure*(1) | MSD: adoption*(2); decision*(2); family(1); farmer(2); security(1); strateg*(4); village*(1); transport*(1)
319,1421,"Pegalepo E., Bocco R., Onaga G., Nwilene F., Tamò M., Togola A., Katiyar S.K.",2025,Sustainable Insect Pest Management Options for Rice Production in Sub-Saharan Africa,10.3390/insects16111175,0,0,3,3,4,5,6,9,24.15,LSD: collaborat*(1); school*(1); livelihood*(1) | PSD: case stud*(1); financ*(1); food security*(2); capacity-building*(1) | MSD: adoption*(1); farmer(2); researcher*(1); security(2); stakeholder*(2); strateg*(1)
320,1281,"Kumar S., Chethan Patil N.D., Sandhu H.S., Jarial S.",2025,Integrating tradition and innovation: The role of indigenous knowledge systems in modern agriculture,10.4018/979-8-3373-4124-8.ch014,0,0,3,5,3,4,4,11,24.1,LSD: learn*(2); tradition(1); indigenous knowledge*(2) | PSD: innovation*(2); resilience*(1); agribusiness*(1) | MSD: knowledge(5); modern(4); strateg*(1); sacred*(1)
321,669,"Singla N., Verma G.",2023,Emerging Opportunities for Restructuring Livestock Products and Supply Chains in Post-COVID-19 in India: A Review,10.35716/IJED-23335,0,0,2,8,3,3,6,13,24.05,LSD: marketing*(1); supply chain*(7) | PSD: market(1); nutrition*(1); resilience*(1) | MSD: modern(1); moderniz*(1); societ*(1); stakeholder*(1); systema*(1); livestock*(8)
322,219,"Taylor M., Bhasme S.",2018,"Model farmers, extension networks and the politics of agricultural knowledge transfer",10.1016/j.jrurstud.2018.09.015,1,1,2,2,1,6,2,5,24.0,DSD: political-econom*(1) | LSD: -econo*(1); socio(1) | PSD: extension(6) | MSD: illustrate(1); knowledge(4)
323,6855,"Kumar, Sunil; Manjeet Singh Nain; V. Sangeetha; Satyapriya",2023,Determinants and Constraints for Adoption of Zero Budget Natural Farming (ZBNF) Practices in Farmer Field School,,0,0,3,6,2,3,5,7,23.95,LSD: labour*(4); marketing*(1); school*(1) | PSD: market(2); certification*(1) | MSD: knowledge(1); adoption*(3); farmer(1); legal*(1); wage*(1)
324,2342,"Mendes, CMI; Demattê, LC; Gameiro, AH",2024,Incorporating sustainability in the food supply chain: The development of a private standard of Nature Farming poultry production in Brazil,10.1016/j.resglo.2023.100185,0,0,2,5,6,9,4,5,23.75,LSD: social(1); supply chain*(4) | PSD: case stud*(1); communicat*(3); food security*(1); innovation*(1); certification*(2); ethical*(1) | MSD: implemented*(2); initiative*(1); perception*(1); security(1)
325,7036,"Berger, Iris",2025,Efficacy of agroecological approaches to ameliorate trade-offs between food production and biodiversity conservation,,0,0,3,3,4,4,6,7,23.7,LSD: collaborat*(1); value chain*(1); multi-stakeholder*(1) | PSD: argue*(1); food system*(1); governance*(1); nutrition*(1) | MSD: knowledge(2); dialogue*(1); embedded*(1); people*(1); stakeholder*(1); strateg*(1)
326,1225,"Hiremath R.B., Mahajan Y., Bhadra S., Sharma R., Singh A.S.",2025,Fostering a Sustainability Transition Toward the Organic Farming Paradigm: A Policy Innovation Perspective,10.1111/1467-8489.70030,0,0,3,3,4,9,4,4,23.65,LSD: -econo*(1); socio(1); socioeconomic*(1) | PSD: innovation*(6); movement*(1); paradigm*(1); perspective(1) | MSD: adoption*(1); people*(1); societ*(1); strateg*(1)
327,5498,"Treewannakul, P., Kyushu Univ., Fukuoka (Japan); Fukuda, S.",2010,A study of marketing information and communication for fresh vegetable in Thailand,,0,0,1,10,5,15,1,1,23.35,LSD: marketing*(10) | PSD: commod*(1); communicat*(3); extension(2); market(4); price(5) | MSD: stakeholder*(1)
328,1331,"Aji J.M.M., Puryantoro, Mayangsari A.",2025,"Optimizing the Smallholder Arabica Coffee Supply Chain in Bondowoso, East Java, Indonesia: A Strategic Analysis Using A’WOT",10.18280/jesa.580407,0,0,3,9,0,0,3,8,23.3,LSD: empower*(1); focus group*(1); supply chain*(7) | MSD: discussion*(1); stakeholder*(1); strateg*(6)
329,1446,"Pandey P., Cabral L.",2025,Transformational Agroecology: The Making and Unmaking of Zero Budget Natural Farming in India,10.1177/09717218251326835,1,2,1,2,2,2,3,3,23.3,DSD: justice*(2) | LSD: social(2) | PSD: argue*(1); transform(1) | MSD: knowledge(1); systema*(1); think*(1)
330,1463,"Kumar J., Rana S., Rani V., Ahuja A.",2025,What affects organic farming adoption in emerging economies? A missing link in the Indian agriculture sector,10.1108/IJOEM-03-2023-0390,0,0,4,4,0,0,4,13,23.3,LSD: -econo*(1); marketing*(1); social(1); socio(1) | MSD: knowledge(1); adoption*(9); decision*(1); governmental*(2)
331,701,"Nguyen T.T.N., Tu N.S., Ha T.T.L.",2023,Input Value Chain Affect Vietnamese Rice Yield: An Analytical Model Based on a Machine Learning Algorithm,10.14569/IJACSA.2023.0140512,0,0,2,14,1,1,0,0,23.25,LSD: learn*(7); value chain*(7) | PSD: market(1)
332,902,"Verma R., Verma K., Verma J., Singh T., Bisen P.S.",2024,Indian rural development: a review of technology and society,10.1007/s43545-024-00831-x,0,0,3,4,3,6,4,7,23.2,LSD: education(2); poverty*(1); traditional knowledge*(1) | PSD: financ*(1); innovation*(1); rural*(4) | MSD: knowledge(1); adoption*(1); people*(2); societ*(3)
333,799,"Shubham, Mukteshawar R., Rohila A.K., Chahal P.K., Ghanghas B.S., Kumar R.",2024,Analysis of constraints on the adoption of management practices for water conservation in Haryana,10.36953/ECJ.26032748,1,1,2,2,1,1,3,4,23.15,DSD: social science*(1) | LSD: interview(1); social(1) | PSD: financ*(1) | MSD: adopting*(1); adoption*(2); perceive*(1)
334,1199,Zafar S.,2025,Evaluating the emission impacts of agricultural subsidies policy in India,10.1108/IGDR-10-2024-0181,0,0,2,6,3,19,2,3,23.05,LSD: externalit*(1); input subsid*(5) | PSD: power(3); training*(1); subsid*(15) | MSD: farmer(2); tradeoff*(1)
335,882,"Sharma T., Mrabet R., Singh A., Kumar N., Baghla D., Kumar S., Rana B.B., Chauhan G.",2024,Global Hunger: The Need for Smart and Sustainable Agriculture,10.1201/9781003389408-8,0,0,3,5,3,4,3,5,23.0,LSD: supply chain*(2); food insecur*(1); Green Revolution*(2) | PSD: food security*(2); nutrition*(1); resilience*(1) | MSD: people*(2); security(2); strateg*(1)
336,191,Poerting J.,2017,Sustainability innovation or intervention?: Certified organic agriculture in Pakistan [Soziale Innovation oder Business as Usual?: Zertifizierte Bio-Landwirtschaft in Nordpakistan],,0,0,3,3,6,8,0,0,23.0,LSD: -econo*(1); social(1); socio(1) | PSD: corporat*(1); food system*(1); innovation*(3); intervention(1); market(1); question(1)
337,140,"Ru H.-Y., Lo E.-C.",2015,"The local moral world and agricultural activities of the committed organic farmer: A case study from an Atayal Community in Shilei, Jianshi Township, Xinzhu",,0,0,2,4,5,5,6,17,22.95,LSD: marketing*(2); social(2) | PSD: engage*(1); case stud*(1); histor*(1); market(1); movement*(1) | MSD: knowledge(3); adopting*(2); farmer(9); modern(1); people*(1); strateg*(1)
338,7071,B. B. Bolatbek; B. Zh. Nurakhova; G. S. Satbayeva; Б. Б. Болатбек; Б. Ж. Нурахова; Г. С. Сатбаева; Б. Б. Болатбек; Б. Ж. Нурахова; Г. С. Cатбаева,2025,"Organic agriculture in Kazakhstan: objectives, scientific principles | Қазақстанның органикалық ауыл шаруашылығы: мақсаттары, ғылыми принциптер | Органическое сельское хозяйство Казахстана: цели, научные принципы",,1,1,1,1,5,7,2,2,22.95,DSD: social sustainab*(1) | LSD: social(1) | PSD: food security*(1); market(2); training*(2); certification*(1); quality of life*(1) | MSD: security(1); strateg*(1)
339,2537,"Dung, N.M. (Kyushu Univ., Fukuoka (Japan)); Tsuji, M.",2000,An analysis on income status of farm households: A case study in the Red River Delta of Vietnam,,0,0,3,4,4,11,0,0,22.75,LSD: reform*(1); socioeconomic*(2); poverty*(1) | PSD: case stud*(1); household(4); income*(4); non-farm*(2)
340,3999,"Xie, S. (Kyushu Univ., Fukuoka (Japan). Faculty of Agriculture); Huang, J.; Wu, D.; Wang, Z.; Kai, S.",2004,The governance structure of transactions in enterprise clusters: The case of bicycle industry in rural China,,1,1,1,1,5,6,2,2,22.7,DSD: embeddedness*(1) | LSD: social(1) | PSD: argue*(1); governance*(2); intervention(1); market(1); rural*(1) | MSD: embedded*(1); village*(1)
341,6477,"Fukuda, Kaoru",2018,"The Advantage of Natural Farming as an Eco‐Friendly Way of Living: Practice and Discourse on the “Learners’ Fields” in Fukuoka, Japan",,1,1,2,2,0,0,4,6,22.6,DSD: discourse*(1) | LSD: learn*(1); labor intensi*(1) | MSD: labor(1); people*(1); practitioner*(2); sufficiency*(2)
342,425,"Kernecker M., Seufert V., Chapman M.",2021,Farmer-centered ecological intensification: Using innovation characteristics to identify barriers and opportunities for a transition of agroecosystems towards sustainability,10.1016/j.agsy.2021.103142,0,0,2,2,5,15,4,18,22.55,LSD: autonomy*(1); empower*(1) | PSD: case stud*(2); financ*(1); innovation*(9); question(1); training*(2) | MSD: knowledge(3); adoption*(6); farmer(8); think*(1)
343,1394,"Vázquez-Luna D., Jiménez-Nestoso G., Cuevas-Díaz M.D.C., Lara-Rodríguez D.A., Castillo-Capitán G.",2025,"SUSTAINABILITY OF MAIZE CULTIVATION IN SOUTHERN VERACRUZ, MEXICO [SUSTENTABILIDAD DEL CULTIVO DE MAÍZ EN EL SUR DE VERACRUZ, MÉXICO]",10.56369/tsaes.6061,0,0,3,5,3,3,3,3,22.55,LSD: interview(1); marketing*(1); social(3) | PSD: income*(1); perspective(1); rural*(1) | MSD: knowledge(1); decision*(1); strateg*(1)
344,16,Lotter D.W.,2003,Organic agriculture,10.1300/J064v21n04_06,1,1,2,2,2,2,0,0,22.5,DSD: sociolog*(1) | LSD: social(1); accountab*(1) | PSD: market(1); certification*(1)
345,7357,,,Natural farming for whom? Environmental justice and state-led chemical-free farming promotion in India,,2,2,0,0,1,1,2,2,22.45,DSD: justice*(1); environmental justice*(1) | PSD: income*(1) | MSD: farmer(1); strateg*(1)
346,4509,"Akanda, M.A.I.(Kyushu Univ., Fukuoka (Japan). Faculty of Agriculture); Isoda, H.",2006,Expansion of distant marketing of vegetables in Bangladesh: A case study on Losmanpur village in Sherpur district,,0,0,1,10,5,10,1,4,22.4,LSD: marketing*(10) | PSD: case stud*(1); histor*(1); market(3); price(3); credit*(2) | MSD: village*(4)
347,810,"Rozaki Z., Yudanto R.S.B., Triyono, Rahmawati N., Alifah S., Ardila R.A., Pamungkas H.W., Fathurrohman Y.E., Man N.",2024,"Assessing the Sustainability of Organic Rice Farming in Central Java and Yogyakarta: An Economic, Ecological, and Social Evaluation",10.56578/of100205,0,0,3,6,2,2,3,3,22.3,LSD: social(4); tradition(1); poverty*(1) | PSD: financ*(1); training*(1) | MSD: farmer(1); initiative*(1); young farmer*(1)
348,2092,"Mabon, L; Shih, WY; Kondo, K; Kanekiyo, H; Hayabuchi, Y",2019,"What is the role of epistemic communities in shaping local environmental policy? Managing environmental change through planning and greenspace in Fukuoka City, Japan",10.1016/j.geoforum.2019.04.024,1,1,1,1,4,8,2,3,22.3,DSD: reflexiv*(1) | LSD: collaborat*(1) | PSD: argue*(1); histor*(2); urban(4); wellbeing*(1) | MSD: dialogue*(1); societ*(2)
349,278,"Khadse A., Rosset P.M.",2019,Zero Budget Natural Farming in India–from inception to institutionalization,10.1080/21683565.2019.1608349,1,1,2,3,1,1,0,0,22.25,DSD: social movement*(1) | LSD: peasant*(2); social(1) | PSD: movement*(1)
350,497,"Khadse A., Rosset P.",2021,Zero Budget Natural Farming in India - From inception to institutionalization [Agricultura natural de presupuesto cero en India - Desde su inicio hasta su institucionalización],10.5380/dma.v58i0.81370,1,1,2,3,1,1,0,0,22.25,DSD: social movement*(1) | LSD: peasant*(2); social(1) | PSD: movement*(1)
351,1449,"Williamson S., Belay A., Mensah R., Genet Z., Kabero G., Nigussie A., Amera T., Horgan F.G., Willis S.E., Salmon J.P., Stuart A.M.",2025,Transitioning from harmful insecticides to agroecological IPM with smallholder vegetable farmers in Ethiopia,10.3389/fagro.2025.1674996,0,0,3,5,2,5,3,5,22.25,LSD: learn*(2); school*(1); pesticide poison*(2) | PSD: case stud*(1); training*(4) | MSD: adopting*(1); farmer(1); stakeholder*(3)
352,6623,"Khadse, Ashlesha; Rosset, Peter M.",2019,Zero Budget Natural Farming in India – from inception to institutionalization,,1,1,2,3,1,1,0,0,22.25,DSD: social movement*(1) | LSD: peasant*(2); social(1) | PSD: movement*(1)
353,6763,"Vega, Damián; Ibarra, Sofía; Monzón, Julieta; Jacobo, Elizabeth",2021,Natural agriculture in the Southern Pampas of Argentina: the case  “Monte Callad | Agricultura natural en la pampa austral argentina: el caso “Monte Callado”,,0,0,3,6,1,1,5,5,22.25,LSD: autonomy*(2); socio(3); socioeconomic*(1) | PSD: income*(1) | MSD: family(1); farmer(1); livestock*(1); cattle*(1); dairy*(1)
354,6783,Ashlesha Khadse; Peter Rosset,2021,Zero Budget Natural Farming in India – from inception to institutionalization,,1,1,2,3,1,1,0,0,22.25,DSD: social movement*(1) | LSD: peasant*(2); social(1) | PSD: movement*(1)
355,1454,Dalal A.,2025,Understanding agricultural transitions and sustainability: a study of farmers’ perspectives in rural North-West India,10.1080/09584935.2025.2575160,0,0,3,4,3,5,3,4,22.15,LSD: -econo*(1); socio(2); decision-making*(1) | PSD: argue*(1); perspective(1); rural*(3) | MSD: decision*(1); discussion*(1); village*(2)
356,729,"Sambrajyam J.T., Rao J.R., Reddy E.E., Chowdary K.Y.",2023,Prakruthi Sedhya: A Natural Farming Mobile App,10.1109/ICECONF57129.2023.10084002,0,0,3,3,3,3,5,8,22.05,LSD: SHG(1); minimum support price*(1); MSP(1) | PSD: food security*(1); organization(1); training*(1) | MSD: discussion*(3); language*(1); people*(2); security(1); village*(1)
357,618,"Bezner Kerr R., Postigo J.C., Smith P., Cowie A., Singh P.K., Rivera-Ferre M., Tirado-von der Pahlen M.C., Campbell D., Neufeldt H.",2023,"Agroecology as a transformative approach to tackle climatic, food, and ecosystemic crises",10.1016/j.cosust.2023.101275,0,0,2,4,5,8,5,5,22.0,LSD: social(3); inequit*(1) | PSD: collective*(1); food security*(1); food system*(2); nutrition*(1); resilience*(3) | MSD: knowledge(1); labor(1); security(1); societ*(1); strateg*(1)
358,5099,"Moe, A.K.(Kyushu Univ., Fukuoka (Japan)); Yutaka, T.; Fukuda, S.; Kai, S.",2008,Impact of agricultural market reform on pulses market integration in Myanmar,,0,0,2,8,2,13,1,2,21.95,LSD: marketing*(3); reform*(5) | PSD: market(11); price(2) | MSD: implemented*(2)
